platform,case,requests,errors,spawned,serving_pids,request_starts,request_ends,readable_events,readable_per_second,readable_bins_pct,longest_readable_run_ms,queue_alarm_ms,accepts_observed,event_next_accept_p95_ms,event_nearest_accept_p95_ms,unmatched_events,connect_accept_p95_ms,dispatch_start_p50_ms,dispatch_start_p95_ms,latency_p95_ms,dispatch_lag_p95_ms
linux,php_cgi-r10-w1,20,0,1,1,0,0,18,9.0,45.0,0.0,,0,,,18,,5.916,9.385,82.248,1.031
linux,php_cgi-r10-w1,20,0,1,1,0,0,20,10.0,50.0,0.0,,0,,,20,,8.594,10.252,85.592,1.258
linux,php_cgi-r10-w2,20,0,2,2,0,0,18,9.0,45.0,0.0,,0,,,18,,7.766,10.969,82.972,1.28
linux,php_cgi-r10-w2,20,0,2,2,0,0,18,9.0,45.0,0.0,,0,,,18,,7.788,11.746,81.498,1.199
linux,php_cgi-r10-w4,20,0,4,4,0,0,19,9.5,47.5,0.0,,0,,,19,,7.965,11.908,82.748,1.383
linux,php_cgi-r10-w4,20,0,4,4,0,0,19,9.5,47.5,0.0,,0,,,19,,7.297,10.357,82.775,1.331
linux,php_cgi-r70-w1,140,0,1,1,0,0,41,20.5,100.0,1986.989,138.653,0,,,41,,2116.651,4310.438,4327.069,1.162
linux,php_cgi-r70-w1,140,0,1,1,0,0,41,20.5,100.0,1989.116,139.803,0,,,41,,2161.015,4326.077,4341.722,1.15
linux,php_cgi-r70-w2,140,0,2,2,0,0,41,20.5,100.0,1986.51,136.874,0,,,41,,506.162,1049.608,1079.253,1.086
linux,php_cgi-r70-w2,140,0,2,2,0,0,41,20.5,100.0,1985.496,135.798,0,,,41,,499.403,1069.489,1083.932,1.103
linux,php_cgi-r70-w4,140,0,4,4,0,0,39,19.5,57.5,1542.599,143.876,0,,,39,,1.502,3.13,74.801,1.116
linux,php_cgi-r70-w4,140,0,4,4,0,0,37,18.5,75.0,1041.79,143.725,0,,,37,,1.493,2.91,75.237,1.059
linux,python-r10-w1,20,0,1,1,20,20,13,6.5,32.5,0.0,,20,0.202,0.202,0,0.074,0.953,1.211,73.23,1.291
linux,python-r10-w1,20,0,1,1,20,20,7,3.5,17.5,0.0,,20,0.215,0.215,0,0.15,0.947,1.11,73.853,1.276
linux,python-r10-w2,20,0,2,2,20,20,6,3.0,15.0,0.0,,20,0.135,0.135,0,0.045,1.011,1.143,74.515,1.193
linux,python-r10-w2,20,0,2,2,20,20,6,3.0,15.0,0.0,,20,0.142,0.142,0,0.075,0.936,1.247,73.557,1.333
linux,python-r10-w4,20,0,4,4,20,20,5,2.5,12.5,0.0,,20,0.212,0.212,0,0.044,1.005,1.165,74.153,1.128
linux,python-r10-w4,20,0,4,4,20,20,2,1.0,5.0,0.0,,20,0.122,0.122,0,0.051,1.15,1.334,74.117,1.348
linux,python-r70-w1,140,0,1,1,140,140,41,20.5,100.0,1983.178,134.95,140,53.436,31.842,0,3588.362,1844.738,3589.05,3609.615,1.26
linux,python-r70-w1,140,0,1,1,140,140,41,20.5,100.0,1983.255,135.603,140,50.606,31.772,0,3597.241,1842.006,3597.566,3618.92,1.303
linux,python-r70-w2,140,0,2,2,140,140,40,20.0,100.0,1927.333,156.356,140,19.921,16.828,0,823.647,408.818,824.014,846.292,1.171
linux,python-r70-w2,140,0,2,2,140,140,40,20.0,100.0,1937.06,180.765,140,28.494,12.138,0,836.757,420.012,836.853,861.305,1.195
linux,python-r70-w4,140,0,4,4,140,140,26,13.0,57.5,286.203,215.621,140,0.206,0.161,0,0.085,0.465,0.951,73.84,1.138
linux,python-r70-w4,140,0,4,4,140,140,26,13.0,65.0,228.77,329.894,140,0.189,0.189,0,0.079,0.503,1.005,73.44,1.196
linux,serial-burst-1,80,0,1,1,80,80,66,19.807,97.015,3241.778,142.24,80,38.713,17.956,0,3117.094,1624.395,3118.928,3164.845,5.022
linux,serial-burst-1,80,0,1,1,80,80,66,19.853,97.015,3240.444,142.388,80,37.571,20.223,0,3105.728,1628.062,3115.093,3158.194,2.002
linux,serial-burst-4,80,0,4,4,80,80,17,20.421,94.118,782.3,133.399,80,39.921,19.162,0,740.664,371.083,743.666,790.628,5.74
linux,serial-burst-4,80,0,4,4,80,80,17,20.401,94.118,788.361,141.287,80,36.618,19.369,0,745.202,374.189,748.775,792.506,6.337
linux,serial-fast-1,400,0,1,1,400,400,39,19.5,87.5,1274.145,145.732,400,0.135,0.095,0,0.067,0.147,0.281,2.584,1.057
linux,serial-fast-1,400,0,1,1,400,400,38,19.0,77.5,1539.157,175.607,400,0.13,0.101,0,0.068,0.138,0.221,2.507,1.071
linux,serial-load-1,140,0,1,1,140,140,41,20.5,100.0,1989.458,141.304,140,38.999,19.342,0,3562.279,1863.019,3562.737,3604.363,1.288
linux,serial-load-1,140,0,1,1,140,140,41,20.5,100.0,1990.023,141.703,140,38.674,18.602,0,3556.792,1855.43,3557.227,3598.615,1.182
linux,serial-load-2,140,0,2,2,140,140,41,20.5,100.0,1982.611,134.385,140,22.138,12.187,0,840.139,433.643,840.298,881.647,1.218
linux,serial-load-2,140,0,2,2,140,140,40,20.0,100.0,1945.102,160.17,140,28.149,13.843,0,825.243,430.773,825.745,866.692,1.184
linux,serial-load-4,140,0,4,4,140,140,24,12.0,57.5,142.677,486.511,140,0.132,0.132,0,0.065,0.393,0.978,43.182,1.175
linux,serial-load-4,140,0,4,4,140,140,25,12.5,60.0,171.942,343.865,140,0.208,0.169,0,0.06,0.286,0.842,42.613,1.13
linux,serial-low-1,20,0,1,1,20,20,18,9.0,45.0,0.0,,20,99.788,0.217,0,0.082,0.835,1.21,43.401,1.256
linux,serial-low-1,20,0,1,1,20,20,17,8.5,42.5,0.0,,20,100.09,0.195,0,0.069,0.818,1.151,43.527,1.26
