platform,case,requests,errors,spawned,serving_pids,request_starts,request_ends,readable_events,readable_per_second,readable_bins_pct,longest_readable_run_ms,queue_alarm_ms,accepts_observed,event_next_accept_p95_ms,event_nearest_accept_p95_ms,unmatched_events,connect_accept_p95_ms,dispatch_start_p50_ms,dispatch_start_p95_ms,latency_p95_ms,dispatch_lag_p95_ms
windows,nginx-php_cgi-w4,140,0,4,4,0,0,38,19.0,87.5,910.582,219.365,0,,,38,,22.068,45.959,113.255,0.872
windows,nginx-php_cgi-w4,140,0,4,4,0,0,37,18.5,90.0,1286.416,219.053,0,,,37,,20.172,41.345,112.339,1.013
windows,nginx-python-low,20,0,1,1,20,20,20,10.0,50.0,0.0,,20,1.529,1.529,0,,19.751,27.508,93.005,0.843
windows,nginx-python-low,20,0,1,1,20,20,20,10.0,50.0,0.0,,20,1.707,1.707,0,,19.93,28.468,94.823,0.748
windows,nginx-python-w1,140,0,1,1,140,140,41,20.5,100.0,1978.98,131.582,140,57.928,29.613,0,,1861.487,3637.334,3657.5,0.872
windows,nginx-python-w1,140,0,1,1,140,140,41,20.5,100.0,1994.352,147.219,140,56.3,31.606,0,,1854.121,3632.066,3652.746,0.957
windows,nginx-python-w2,140,0,2,2,140,140,41,20.5,100.0,1985.359,138.247,140,31.662,11.976,0,,437.064,853.187,885.453,0.894
windows,nginx-python-w2,140,0,2,2,140,140,40,20.0,100.0,1949.533,152.828,140,27.422,15.81,0,,436.05,852.784,886.791,0.893
windows,nginx-python-w4,140,0,4,4,140,140,41,20.5,97.5,1994.365,129.064,140,9.617,8.844,0,,18.974,28.483,100.21,0.874
windows,nginx-python-w4,140,0,4,4,140,140,41,20.5,100.0,1985.456,130.383,140,12.182,6.845,0,,17.817,26.349,102.228,0.844
windows,node-r10-w1,20,0,1,1,20,20,0,0.0,0.0,0.0,,20,,,0,1.031,1.782,2.884,80.003,0.815
windows,node-r10-w1,20,0,1,1,20,20,0,0.0,0.0,0.0,,20,,,0,0.87,2.285,3.314,89.12,0.82
windows,node-r10-w2,20,0,2,1,20,20,0,0.0,0.0,0.0,,20,,,0,0.0,0.0,0.0,84.205,0.565
windows,node-r10-w2,20,0,2,1,20,20,0,0.0,0.0,0.0,,20,,,0,0.809,1.859,2.914,85.078,0.78
windows,node-r10-w4,20,0,4,1,20,20,0,0.0,0.0,0.0,,20,,,0,1.053,1.306,2.246,84.434,0.765
windows,node-r10-w4,20,0,4,1,20,20,0,0.0,0.0,0.0,,20,,,0,0.703,2.342,3.471,81.94,0.771
windows,node-r70-w1,140,0,1,1,140,140,0,0.0,0.0,0.0,,140,,,0,0.529,0.381,1.121,75.75,0.818
windows,node-r70-w1,140,0,1,1,140,140,0,0.0,0.0,0.0,,140,,,0,0.0,0.0,0.0,73.226,0.816
windows,node-r70-w2,140,0,2,1,140,140,0,0.0,0.0,0.0,,140,,,0,0.688,0.338,1.226,72.873,0.795
windows,node-r70-w2,140,0,2,1,140,140,0,0.0,0.0,0.0,,140,,,0,0.913,0.458,1.746,74.019,0.828
windows,node-r70-w4,140,0,4,1,140,140,0,0.0,0.0,0.0,,140,,,0,0.615,0.341,1.038,72.97,0.874
windows,node-r70-w4,140,0,4,1,140,140,0,0.0,0.0,0.0,,140,,,0,0.631,0.366,1.673,74.428,0.866
windows,parallel-load-1,140,0,1,1,140,140,0,0.0,0.0,0.0,,140,,,0,0.0,0.536,0.715,41.928,0.746
windows,parallel-load-1,140,0,1,1,140,140,0,0.0,0.0,0.0,,140,,,0,0.0,0.587,1.188,42.328,0.825
windows,persistent-load-1,140,0,1,1,140,140,0,0.0,0.0,0.0,,1,,,0,,1829.691,3511.647,3552.324,0.834
windows,persistent-load-1,140,0,1,1,140,140,0,0.0,0.0,0.0,,1,,,0,,1833.751,3514.57,3555.464,0.824
windows,php_cgi-r10-w1,20,0,1,1,0,0,0,0.0,0.0,0.0,,0,,,0,,2.684,3.756,84.509,0.9
windows,php_cgi-r10-w1,20,0,1,1,0,0,0,0.0,0.0,0.0,,0,,,0,,2.802,3.93,80.772,0.778
windows,php_cgi-r10-w2,20,0,2,2,0,0,0,0.0,0.0,0.0,,0,,,0,,3.169,4.724,84.273,0.852
windows,php_cgi-r10-w2,20,0,2,2,0,0,0,0.0,0.0,0.0,,0,,,0,,2.849,3.946,80.27,0.8
windows,php_cgi-r10-w4,20,0,4,4,0,0,0,0.0,0.0,0.0,,0,,,0,,3.036,3.354,83.958,0.801
windows,php_cgi-r10-w4,20,0,4,4,0,0,0,0.0,0.0,0.0,,0,,,0,,2.97,5.135,82.668,0.794
